# Source File: https://github.com/Esri/military-features-data/blob/master/test/TestReproData/Mil-2525C-Wildcards.csv
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt
# Full SIDC,SIDC By Parts,Hierarchy Code,Name,Geometry
S*G*EVUTH------,S * G * EV UT H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.TOWTRK.HVY,Tow Truck Heavy,
S*G*EVUTL------,S * G * EV UT L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.UTYVEH.TOWTRK.LIT,Tow Truck Light,
S*G*ES---------,S * G * ES -- -- ** ** *,WAR.GRDTRK.EQT.SNS,Sensor,
S*G*ESE--------,S * G * ES E- -- ** ** *,WAR.GRDTRK.EQT.SNS.EMP,Emplaced Sensor,
S*G*ESR--------,S * G * ES R- -- ** ** *,WAR.GRDTRK.EQT.SNS.RAD,Radar,
S*G*EXN--------,S * G * EX N- -- ** ** *,WAR.GRDTRK.EQT.SPL.CBRNEQ,Cbrn Equipment,
S*G*EXF--------,S * G * EX F- -- ** ** *,WAR.GRDTRK.EQT.SPL.FLMTHR,Flame Thrower,
S*G*EXI--------,S * G * EX I- -- ** ** *,WAR.GRDTRK.EQT.SPL.IED,Improvised Explosive Device,
S*G*EXM--------,S * G * EX M- -- ** ** *,WAR.GRDTRK.EQT.SPL.LNDMNE,Land Mines,
S*G*EXMC-------,S * G * EX MC -- ** ** *,WAR.GRDTRK.EQT.SPL.LNDMNE.CLM,Claymore,
